"go_id","go_desc","gene_count","up_count","down_count","background_count","p_value","odds_ratio","p_adj"
"GO:0004743","pyruvate kinase activity",4,1,3,13,0.00239139908300546,9.11667172420225,0.102317717908591
"GO:0005471","ATP:ADP antiporter activity",5,2,3,21,0.00237317947682042,6.41250783299995,0.102317717908591
"GO:0009410","response to xenobiotic stimulus",4,1,3,13,0.00239139908300546,9.11667172420225,0.102317717908591
"GO:0030955","potassium ion binding",4,1,3,13,0.00239139908300546,9.11667172420225,0.102317717908591
"GO:0009532","plastid stroma",13,2,11,115,0.00273600613272166,2.62309899335687,0.115008257789493
"GO:0006536","glutamate metabolic process",3,1,2,7,0.00306653806235958,15.370652900108,0.120449593400222
"GO:0010142","farnesyl diphosphate biosynthetic process, mevalonate pathway",3,0,3,7,0.00306653806235958,15.370652900108,0.120449593400222
"GO:0040008","regulation of growth",10,5,5,77,0.002991288544075,3.0686924685542,0.120449593400222
"GO:1990071","TRAPPII protein complex",3,0,3,7,0.00306653806235958,15.370652900108,0.120449593400222
"GO:0002213","defense response to insect",4,0,4,14,0.0032253404751386,8.205619126778,0.124643802877937
"GO:0009611","response to wounding",17,5,12,176,0.00366245905320417,2.20220004112192,0.137113310804331
"GO:0032592","integral component of mitochondrial membrane",5,0,5,23,0.00363222364307115,5.69975757297645,0.137113310804331
"GO:0009501","amyloplast",6,3,3,33,0.0037974075365746,4.5621255285391,0.139978283963581
"GO:0070509","calcium ion import",4,2,2,15,0.00423738730365023,7.45884305399481,0.15382999969009
"GO:0006542","glutamine biosynthetic process",3,0,3,8,0.00473701223335045,12.2989397682757,0.159857483255038
"GO:0019252","starch biosynthetic process",7,4,3,45,0.00451152976681146,3.78271557128757,0.159857483255038
"GO:0070988","demethylation",3,1,2,8,0.00473701223335045,12.2989397682757,0.159857483255038
"GO:0071484","cellular response to light intensity",3,0,3,8,0.00473701223335045,12.2989397682757,0.159857483255038
"GO:1990246","uniplex complex",3,2,1,8,0.00473701223335045,12.2989397682757,0.159857483255038
"GO:0008289","lipid binding",16,2,14,166,0.00482388668598702,2.19615271562739,0.160528229161457
"GO:0004784","superoxide dismutase activity",4,0,4,16,0.00544364375844274,6.83723349235096,0.166029707529448
"GO:0006695","cholesterol biosynthetic process",2,1,1,3,0.00630580274840558,40.9649920738984,0.166029707529448
"GO:0006801","superoxide metabolic process",4,0,4,16,0.00544364375844274,6.83723349235096,0.166029707529448
"GO:0006869","lipid transport",11,1,10,97,0.00548011599240446,2.63016709999273,0.166029707529448
"GO:0010041","response to iron(III) ion",2,1,1,3,0.00630580274840558,40.9649920738984,0.166029707529448
"GO:0015937","coenzyme A biosynthetic process",4,1,3,16,0.00544364375844274,6.83723349235096,0.166029707529448
"GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",6,2,4,36,0.0059317975386208,4.10564734949881,0.166029707529448
"GO:0030001","metal ion transport",12,5,7,112,0.0060255815337528,2.4679614109567,0.166029707529448
"GO:0031570","DNA integrity checkpoint signaling",2,1,1,3,0.00630580274840558,40.9649920738984,0.166029707529448
"GO:0033512","L-lysine catabolic process to acetyl-CoA via saccharopine",2,1,1,3,0.00630580274840558,40.9649920738984,0.166029707529448
"GO:0046395","carboxylic acid catabolic process",2,0,2,3,0.00630580274840558,40.9649920738984,0.166029707529448
